words,answer
"yesterday / I / him / saw / at / the station","I saw him at the station yesterday."
"the meeting / will / at / start / three / p.m.","The meeting will start at three p.m."
"has / the report / been / completed / already","Has the report been completed already?"
"on / because / delayed / the train / was","The train was delayed because of the storm."
"she / baked / a cake / for / mother's birthday","She baked a cake for her mother's birthday."
"should / you / contact / immediately / them","You should contact them immediately."
"new / is / the software / faster","The new software is faster."
"we / lunch / go / now / shall","Shall we go to lunch now?"
"they / yesterday / the documents / received","They received the documents yesterday."
"will / he / office / be / at / later","He will be at the office later."
